BookID	BookName	Author	ISBN	Genre	Publisher	Language	NumberofPage	PublicationYear	Availability
BK0024	The Love Hypothesis	Ali Hazelwood	9780590000000	Fiction	Penguin	English	401	1905	Available
BK0025	The Science in Science Fiction	Peter Nicholls	9780520000000	Science	Crescent	English	210	1905	Available
BK0026	Halting State	Charles Stross	9780750000000	Fiction	Hachette UK	English	289	1905	Available
BK0027	Playboy Book of Science Fiction	Alice K. Turner	9780060000000	Fiction	Eos	English	480	1905	Available
BK0028	Rendezvous With Rama	Arthur C. Clarke	9780580000000	Fiction	Hachette UK	English	187	1905	Available
BK0029	The Cambridge Companion to Science Fiction	Edward James, Farah Mendlesohn	9780520000000	Literary Criticism	Cambridge University Press	English	330	1905	Available
BK0030	The Hercules Text	Jack McDevitt	9780700000000	Fiction	Penguin	English	370	1905	Available
BK0031	The Play of Daniel Keyes' Flowers for Algernon	Bert Coules	9780440000000	Drama	Heinemann	English	136	1905	Available
BK0032	The Chymical Wedding of Christian Rosenkreutz	Johann Valentin Andreae	9791040000000	Religion	BoD - Books on Demand	English	122	1905	Available
BK0033	Economic Science Fictions	William Davies	9781910000000	Political Science	MIT Press	English	402	1905	Available
BK0034	Shikasta	Doris Lessing	9780010000000	English fiction	HarperCollins Publishers	English	448	1905	Available
BK0035	Science Fiction: A Critical Guide	Patrick Parrinder	9781000000000	Literary Criticism	Routledge	English	267	1905	Available
BK0036	Starship Troopers	Robert A. Heinlein	9781100000000	Fiction	Penguin	English	200	1905	Available
BK0037	Science Fiction: A Critical Guide	Patrick Parrinder	9781000000000	Literary Criticism	Routledge	English	267	1905	Available
BK0038	Science Fiction Prototyping	Johnson Brian David	9783030000000	Mathematics	Springer Nature	English	242	1905	Available
BK0039	The History of Science Fiction: A Graphic Novel Adventure	Xavier Dollo, Djibril Morissette-Phan	9781640000000	Comics & Graphic Novels	Humanoids, Inc.	English	203	1905	Available
BK0040	Scardown	Elizabeth Bear	9781470000000	Fiction	Hachette UK	English	242	1905	Available
BK0041	The Spirit of Science Fiction	Roberto Bola	9781760000000	Fiction	Picador	English	153	1905	Available
BK0042	The Science of Science Fiction	Matthew Brenden Wood	9781620000000	Juvenile Nonfiction	Nomad Press	English	254	1905	Available
BK0043	Science-fiction	Everett Franklin Bleiler, Richard Bleiler	9780870000000	Fiction	Kent State University Press	English	780	1905	Available
BK0044	Teaching Science Fiction	A. Sawyer, P. Wright	9780230000000	Education	Springer	English	294	1905	Available
BK0045	Saturn's Children	Charles Stross	9780750000000	Fiction	Hachette UK	English	407	1905	Available
BK0046	How to Live Safely in a Science Fictional Universe	Charles Yu	9780860000000	Fiction	Atlantic Books Ltd	English	257	1905	Available
BK0047	The Illustrated Man	Ray Bradbury	9781450000000	Fiction	Simon and Schuster	English	308	1905	Available
BK0048	Science Fiction	George Slusser	9781670000000	Literary Criticism	Rowman & Littlefield	English	367	1905	Available
BK0049	Science/Fiction Collections	Lee Ash	9781130000000	Fiction	Routledge	English	190	1905	Available
BK0050	The Subject of Race in American Science Fiction	Sharon DeGraw	9781140000000	Literary Criticism	Routledge	English	241	1905	Available
BK0051	Science Fact and Science Fiction	Brian Stableford	9781140000000	Fiction	Routledge	English	756	1905	Available
BK0052	Historical Dictionary of Science Fiction in Literature	M. Keith Booker	9780810000000	Literary Criticism	Rowman & Littlefield	English	435	1905	Available
BK0053	The Span of Mainstream and Science Fiction	Peter Brigg	9780790000000	Literary Criticism	McFarland	English	221	1905	Available
BK0054	Arab and Muslim Science Fiction	Hosam A. Ibrahim Elzembely, Emad El-Din Aysha	9781480000000	Literary Criticism	McFarland	English	397	1905	Available
BK0055	Women Scientists in Fifties Science Fiction Films	Bonnie Noonan	9781480000000	Performing Arts	McFarland	English	237	1905	Available
BK0056	The Rise and Fall of American Science Fiction, from the 1920s to the 1960s	Gary Westfahl	9781480000000	Literary Criticism	McFarland	English	312	1905	Available
BK0057	Science Fiction, Ethics and the Human Condition	Christian Baron, Peter Nicolai Halvorsen, Christine Cornea	9783320000000	Philosophy	Springer	English	244	1905	Available
BK0058	Science Fiction - The Evolutionary Mythology of the Future	Thomas Lombardo	9781790000000	Literary Criticism	John Hunt Publishing	English	564	1905	Available
BK0059	Science Fiction	Adam Roberts	9781130000000	History	Routledge	English	215	1905	Available
BK0060	Science Fiction and Fantasy Literature	R. Reginald, Douglas Menville, Mary A. Burgess	9780940000000	Reference	Wildside Press LLC	English	802	1905	Available
BK0061	The Electric State	Simon St	9781470000000	Fiction	Simon and Schuster	English	169	1905	Available
BK0062	Science Fiction in the Real World	Norman Spinrad	9780810000000	Literary Collections	SIU Press	English	260	1905	Available
BK0063	The Role of Science Fiction	Stefan Weihampel, Stefan Weisshampel	9783840000000	Language Arts & Disciplines	Diplomica Verlag	English	113	1905	Available
BK0064	Critical Theory and Science Fiction	Carl Freedman	9780820000000	Fiction	Wesleyan University Press	English	233	1905	Available
BK0065	Never Let Me Go	Kazuo Ishiguro	9780310000000	Fiction	Vintage Canada	English	274	1905	Available
BK0066	Science Fiction Film	Keith M. Johnston	9781850000000	Performing Arts	Berg	English	193	1905	Available
BK0067	Young Adult Science Fiction	C. W. Sullivan III	9780310000000	Literary Criticism	Bloomsbury Publishing USA	English	260	1905	Available
BK0068	Machines in the Head	Anna Kavan	9781680000000	Fiction	New York Review of Books	English	193	1905	Available
BK0069	Science Fiction Film	Eli Park Sorensen	9781470000000	Performing Arts	EUP	English	168	1905	Available
BK0070	The Science Fiction Handbook	Nick Hubble, Aris Mousoutzanis	9781470000000	Literary Criticism	A&C Black	English	192	1905	Available
BK0071	Manta's Gift	Timothy Zahn	9781500000000	Fiction	Open Road Media	English	409	1905	Available
BK0072	Science Fiction Cinema	Christine Cornea	9780750000000	Performing Arts	Edinburgh University Press	English	321	1905	Available
BK0073	Science in the Twentieth Century	John Krige, Dominique Pestre	9781130000000	History	Routledge	English	986	1905	Available
BK0074	Anathem	Neal Stephenson	9780860000000	Fiction	Atlantic Books Ltd	English	721	1905	Available
BK0075	Companion Encyclopedia of Science in the Twentieth Century	John Krige, Dominique Pestre	9781140000000	History	Routledge	English	979	1905	Available
BK0076	The Encyclopedia of Science Fiction	John Clute, Peter Nicholls	9780310000000	Fiction	St Martins Press	English	1386	1905	Available
BK0077	Science Fiction in Classic Rock	Robert McParland	9781480000000	Music	McFarland	English	209	1905	Available
BK0078	Angelmass	Timothy Zahn	9781500000000	Fiction	Open Road Media	English	529	1905	Available
BK0079	Targeting Media	Annemarie Lopez	9781870000000	Language Arts & Disciplines	Blake Education	English	152	1905	Available
BK0080	The Madness Season	C.S. Friedman	9781100000000	Fiction	Astra Publishing House	English	420	1905	Available
BK0081	Gothic Science Fiction 1980-2010	Sara Wasson, Emily Alder	9781850000000	Literary Criticism	Liverpool University Press	English	241	1905	Available
BK0082	Theology and Science Fiction	James F. McGrath	9781500000000	Literary Criticism	Wipf and Stock Publishers	English	125	1905	Available
BK0083	50 Short Science Fiction Tales	Isaac Asimov, Groff Conklin	9780680000000	Fiction	Simon and Schuster	English	292	1905	Available
BK0084	Worldwired	Elizabeth Bear	9781470000000	Fiction	Hachette UK	English	262	1905	Available
BK0085	Beginning Database Design	Gavin Powell	9780760000000	Computers	John Wiley & Sons	English	496	1905	Available
BK0086	The Dragon Waiting	John M. Ford	9781250000000	Fiction	Tor Books	English	342	1905	Available
BK0087	Encyclopedic Dictionary of Semiotics, Media, and Communications	Marcel Danesi	9780800000000	Language Arts & Disciplines	University of Toronto Press	English	284	1905	Available
BK0088	The Latinx Files	Matthew David Goodwin	9781980000000	Literary Criticism	Rutgers University Press	English	167	1905	Available
BK0089	The Practice Effect	David Brin	9780310000000	Fiction	Spectra	English	287	1905	Available
BK0090	A Stanislaw Lem Reader	Stanis                  aw Le	9780810000000	Biography & Autobiography	Northwestern University Press	English	139	1905	Available
BK0091	The Seedling Stars	James Blish	9780580000000	Fiction	Hachette UK	English	156	1905	Available
BK0092	Science Fiction Criticism	Rob Latham	9781470000000	Literary Criticism	Bloomsbury Publishing	English	593	1905	Available
BK0093	The Clockwork Dynasty	Daniel H. Wilson	9780390000000	Fiction	Vintage	English	308	1905	Available
BK0094	The Atrocity Archives	Charles Stross	9780750000000	Fiction	Hachette UK	English	244	1905	Available
BK0095	The Practice Effect	David Brin	9780310000000	Fiction	Spectra	English	287	1905	Available
BK0096	Hugo Gernsback and the Century of Science Fiction	Gary Westfahl	9780790000000	Literary Criticism	McFarland	English	284	1905	Available
BK0097	The Moon is Hell	John W. Campbell	9780580000000	Fiction	Gateway	English	100	1905	Available
BK0098	How to Talk So Kids Will Listen & Listen So Kids Will Talk	Adele Faber, Elaine Mazlish	9780380000000	Family & Relationships	Harper Collins	English	308	1905	Available
BK0099	An Encyclopaedia of Indian Archaeology	Amalananda Ghosh	9789000000000	Architecture	BRILL	English	434	1905	Available
BK0100	Calon Menantu Mama	Amiza Anaz	9789830000000	Malay fiction	Alaf 21	Malay	558	1905	Available
BK0101	Buku dalam Indonesia Baru	Alfons Taryadi	9789790000000	Banks	Yayasan Obor Indonesia	Indonesia	368	1905	Available
BK0102	Akulah Si Jelita	Syaida Ilmuna	9789830000000	Malay fiction	Alaf 21	Malay	536	1905	Available
BK0103	Buku pintar penyuntingan naskah	Pamusuk Eneste	9789790000000	Authors and publishers	Gramedia Pustaka Utama	Indonesia	266	1905	Available
BK0104	Izad Menjejak Buku Sakti	Elee Mardiana	9789830000000	Malay fiction	Alaf 21	English	352	1905	Available
BK0105	BUKU KERJA E-PURCHASING Edisi 2	Agus Arif Rakhman, M.M. | Edi Wibowo, S.T.	9786230000000	Antiques & Collectibles	PENERBIT KBM INDONESIA	English	252	1905	Available
BK0106	Buku Ajar Speaking for General Communication	Dr. Fuad Abdul Baqi, M.Pd., Prof. Dr. Achmad Hufad, M.Ed. , Prof. Dr. H. John Pahamzah, S.Pd., M.Hum., Prof. Dr. Syafrizal, M.Pd.	9786240000000	Foreign Language Study	MEGA PRESS NUSANTARA	English	106	1905	Available
BK0107	BUKU PEMBELAJARAN TATA BAHASA INGGRIS:Untuk Meningkatkan Keterampilan Menulis Siswa/i Sekolah Menengah Pertama Kelas 8	Dr. Leroy Holman Siahaan, M.Pd., Dini Hidayati, M.Pd., Novi Andriani, Firsta Malyda Putri	9786230000000	Antiques & Collectibles	PENERBIT KBM INDONESIA	English	94	1905	Available
BK0108	Dari buku ke buku, sambung menyambung menjadi satu	P. Swantoro	9789800000000	Books	Kepustakaan Populer Gramedia	Indonesia	474	1905	Available
BK0109	Buku Sehat Calon Pengantin dan Keluarga Muda	Dr. Hendrawan Nadesul	9789800000000	Families	Penerbit Buku Kompas	Indonesia	60	1905	Available
BK0110	Cantik Sehijau Epal	Intan Arnida	9789830000000	Malay fiction	Alaf 21	Malay	696	1905	Available
BK0111	Buku Pintar Merawat Hewan Kesayangan	Redaksi AgroMedia, Agromedia	9789790000000	Pets	AgroMedia	Indonesia	206	1905	Available
BK0112	Leaving Microsoft to Change the World	John Wood Chris Rice	9781290000000	Education, Rural	Pearson UK	English	68	1905	Available
BK0113	The Rohingyas	Azeem Ibrahim	9781850000000	History	Oxford University Press	English	259	1905	Available
BK0114	The Rust Programming Language (Covers Rust 2018)	Steve Klabnik, Carol Nichols	9781720000000	Computers	No Starch Press	English	561	1905	Available
BK0115	Where Women Matter	Rachel Samuel, Rohana Ariffin	9789670000000	Social Science	Penerbit USM	English	161	1905	Available
BK0116	Google and the Myth of Universal Knowledge	Ian Wilson, Jean Noel Jeanneney, Teresa Lavender Fagan	9781460000000	Language Arts & Disciplines	ReadHowYouWant.com	English	130	1905	Available
BK0117	The High-Speed Company	Jason Jennings, Laurence Haughton	9780700000000	Business & Economics	Penguin	English	241	1905	Available
BK0118	Aku cinta buku	Joko D. Muktiono	9789790000000	Books and reading	Elex Media Komputindo	Indonesia	220	1905	Available
BK0119	Once Upon a Broken Heart	Stephanie Garber	9781250000000	Young Adult Fiction	Flatiron Books	English	356	1905	Available
BK0120	Buku Pintar Tanaman Obat	Redaksi AgroMedia	9789790000000	Medical	AgroMedia	Indonesia	338	1905	Available
BK0121	Buku Ajar MSDM	La Ode Sabaruddin, Deni Malik, Nailufar Firdaus, Dirham Dirham, Agus Siswanto, Denok Sunarsi, Suparni Sampetan	9786240000000	Business & Economics	PT. Sonpedia Publishing Indonesia	English	123	1905	Unavailable
BK0122	Making Art Out of Pain	Idayu Mumtaz Iskandar	9789670000000	Self-Help	Puteh Press	English	150	1905	Available
BK0123	Menelusuri buku kehidupan	Indra Gunawan Masman	9789790000000	Conduct of life	Gramedia Pustaka Utama	Indonesia	192	1905	Available
BK0124	Natrah	Fatini Yaacob	9789830000000	Adoptees	ITBM	Malay	421	1905	Available
BK0125	Buku Pintar Grammar: Untuk Pemula	Yelvi Andri Z	9789800000000	Education	TransMedia	Indonesia	276	1905	Available
BK0126	Longing for God's Closeness	Ayesha Syahira	9789670000000	Religion	Iman Publication Sdn Bhd	English	202	1905	Available
BK0127	Being a Quran Tag Girl	Ayesha Syahira	9789830000000	Religion	Iman Publication Sdn Bhd	Malay	177	1905	Available
BK0128	The Alchemist - 10th Anniversary Edition	Paulo Coelho	9780060000000	Fiction	Harper Collins	English	196	1905	Available
BK0129	The Midnight Library: A GMA Book Club Pick	Matt Haig	9780530000000	Fiction	Penguin	English	305	1905	Available
BK0130	White Coolies	Betty Jeffrey	9781860000000	History	Thomas t Beeler	English	350	1905	Available
BK0131	Short Story Arena	Walter McVitty	9780730000000	Juvenile Nonfiction	Macmillan Education AU	English	156	1905	Available
BK0132	The Psychology of Money	Morgan Housel	9780860000000	Business & Economics	Harriman House Limited	English	256	1905	Available
BK0133	The Red Book of Varieties and Schemes	David Mumford	9783540000000	Mathematics	Springer	English	316	1905	Available
BK0134	English For Juniors	Nor Bi Abdul Rahman, Kids, Excercises, Grammar	9789830000000	English language	Alaf 21	Malay	160	1905	Available
BK0135	The Hawthorne Legacy	Jennifer Lynn Barnes	9780760000000	Young Adult Fiction	Hachette UK	English	331	1905	Available
BK0136	The Land of Stories: The Wishing Spell	Chris Colfer	9780320000000	Juvenile Fiction	Hachette UK	English	345	1905	Available
BK0137	Legasi Pejuang	Arman Jazee	9789830000000	Malaysian fiction (Malay)	Alaf 21	Malay	585	1905	Available
BK0138	Hegel in A Wired Brain	Slavoj	9781350000000	Philosophy	Bloomsbury Publishing	English	214	1905	Available
BK0139	Knowledge, Language, Thought, and the Civilization of Islam	Mohd. Nor Wan Daud (Wan.), Muhammad Zainiy Uthman	9789840000000	Islam and philosophy	Penerbit UTM Press	English	5	1905	Available
BK0140	UNISET 2020	Anna Fitri Hindriana , Ku Ruhana Ku Mahamud , Robbi Rahim, Suwari Akhmaddhian, Toto Supartono	9781630000000	Social Science	European Alliance for Innovation	English	420	1905	Available
BK0141	We Hunt the Flame	Hafsah Faizal	9780370000000	Young Adult Fiction	Farrar, Straus and Giroux (BYR)	English	480	1905	Available
BK0142	Syonan	Mamoru Shinozaki	9789810000000	Diplomats	Marshall Cavendish International (Asia) Pte Limited	English	176	1905	Available
BK0143	The Declaration of Independence in Historical Context	Barry Alan Shain	9780300000000	History	Yale University Press	English	784	1905	Available
BK0144	The Inheritance Games	Jennifer Lynn Barnes	9780240000000	Young Adult Fiction	Penguin UK	English	252	1905	Available
BK0145	Rural Tourism In Malaysia (Penerbit USM)	Mastura Jaafar, Azizan Marzuki, Shardy Abdullah	9789670000000	Social Science	Penerbit USM	English	240	1905	Available
BK0146	Research Design	John W. Creswell, J. David Creswell	9781510000000	Social Science	SAGE Publications	English	257	1905	Available
BK0147	The Power of Repentance	Yasir Qadhi	9789670000000	Religion	Tertib Publishing	English	41	1905	Available
BK0148	Islamic Civilisation and The Modern World	Osman Bakar	9789990000000	Religion	ubd	English	366	1905	Available
BK0149	Projek Seram - Muzium	A. Darwisy, Suzani Nadzir, Faizul Rahim	9789670000000	Fiction	Buku Prima	Malay	308	1905	Available
BK0150	Qualitative Research: Data Collection & Data Analysis Techniques (UUM Press)	Radziah Abdul Rahim, R. Sivabala Naidu, Mastura Badzis, Noor Fadhilah Mat Nayan, Noor Hashima Abd Aziz	9789830000000	Mathematics	UUM Press	Malay	142	1905	Available
BK0151	The Miracle of the Qur'an	Yasir Qadhi	9789670000000	Religion	Tertib Publishing	English	51	1905	Available
BK0152	The Practice of Not Thinking	Ryunosuke Koike	9780140000000	Religion	Penguin UK	English	135	1905	Available
BK0153	Aku Bercerita	Ramlee Awang Murshid	9789830000000	Malay fiction	Alaf 21	Malay	755	1905	Available
BK0154	It Ends with Us	Colleen Hoover	9781980000000	Fiction	Pocket Books	English	448	1905	Available
BK0155	When Wings Expand	Mehded Maryam Sinclair	9780860000000	Juvenile Fiction	Kube Publishing Ltd	English	225	1905	Available
BK0156	Aku Bercerita	Ramlee Awang Murshid	9789830000000	Malay fiction	Alaf 21	Malay	755	1905	Available
BK0157	When Wings Expand	Mehded Maryam Sinclair	9780860000000	Juvenile Fiction	Kube Publishing Ltd	English	225	1905	Available
BK0158	It Ends with Us	Colleen Hoover	9781980000000	Fiction	Pocket Books	English	448	1905	Available
BK0159	The Final Gambit	Jennifer Lynn Barnes	9780320000000	Young Adult Fiction	Hachette UK	English	351	1905	Available
BK0160	Essay on Sejahtera: Concept, Principle and Practice (IIUM PRESS)	Dzulkifli Abdul Razak	9789670000000	Art	IIUM PRESS	English	67	1905	Available
BK0161	The Spanish Love Deception	Elena Armas	9781670000000	Fiction	Simon and Schuster	English	448	1905	Available
BK0162	Bersatu Dalam Rindu	Amna Nazia	9789830000000	Fiction	Alaf 21	Malay	616	1905	Available
BK0163	Twisted Lies	Ana Huang	9780350000000	Fiction	Hachette UK	English	549	1905	Available
BK0164	Controversies in Contemporary Islam	Oliver Leaman	9781130000000	Religion	Routledge	English	260	1905	Available
BK0165	The First Jihad	Daniel Allen Butler	9781940000000	History	Casemate	English	263	1905	Available
BK0166	ICIIS 2019	JM Muslimin,  Kusmana Kusmana, Yusuf Durachman, Husni Teja Sukmana, Dewi Khairani	9781630000000	Education	European Alliance for Innovation	English	404	1905	Available
BK0167	Sierra Six	Mark Greaney	9780750000000	Fiction	Hachette UK	English	558	1905	Available
BK0168	Backable	Suneel Gupta	9780320000000	Business & Economics	Hachette UK	English	201	1905	Available
BK0169	New Beginnings	Khairun Atika Kamsan	9781540000000	Fiction	Partridge Publishing Singapore	English	220	1905	Available
BK0170	Bandit Saints of Java	George Quinn	9781910000000	Religion	Monsoon Books	English	357	1905	Available
BK0171	BMA Bad Back Book	DK	9781410000000	Medical	Dorling Kindersley Ltd	English	130	1905	Available
BK0172	The Buddha and the Badass	Vishen Lakhiani	9781980000000	Self-Help	Rodale Books	English	322	1905	Available
BK0173	Turning the Tide	Suma Din	9780860000000	Religion	Kube Publishing Ltd	English	233	1905	Available
BK0174	The Love Hypothesis	Ali Hazelwood	9780590000000	Fiction	Penguin	English	401	1905	Available
BK0175	Introducing Japanese Popular Culture	Alisa Freedman	9781000000000	Social Science	Taylor & Francis	English	441	1905	Available
BK0176	She Wore Red Trainers	Na'ima B. Robert	9781850000000	Juvenile Fiction	Kube Publishing Ltd	English	210	1905	Available
BK0177	小說的誕生	渡邊淳一	9787555291060	Literary Collections	青島出版社	Chinese	43	2020	Available
BK0178	中国现代纯文学的理论建构与创作形态	耿庆伟	9787520197205	Literary Collections	社会科学文献出版社	Chinese	332	2022	Available
BK0179	常见文体的层级解读	莫先武, 赵国乾	9787522812571	Education	社会科学文献出版社	Chinese	301	2022	Available
BK0180	新华文学86-诗影重重	沈斯涵主编	9789814791977	Literary Collections	新加坡作家协会 Singapore Association of Writers	Chinese	194	2017	Available
BK0181	全球化语境中的莫言研究	胡铁生	9787520103510	Literary Criticism	社会科学文献出版社	Chinese	426	2017	Available
BK0182	大_文化新_	莫林虎	9787302447917	Business & Economics	清華大學出版社	Chinese	282	2018	Available
BK0183	作家中的作家	邱华栋	9787559811776	Fiction	广西师范大学出版社	Chinese	170	2018	Available
BK0184	國際文憑大學預科項目中文A課程文學術語手冊（簡體版）	董寧	9789620440151	Foreign Language Study	三聯書店(香港)有限公司	Chinese	320	2016	Available
BK0185	中国古代俗文学文体形态研究	张正学	9787220100765	Literary Collections	四川人民出版社有限公司	Chinese	830	2017	Available
BK0186	海外中国古典文学研究	中国社会科学院文学研究所	9787509783627	Literary Collections	社会科学文献出版社	Chinese	364	2016	Available
BK0187	当代文学理论与批评	中国社会科学院文学研究所	9787509784945	Literary Collections	社会科学文献出版社	Chinese	499	2016	Available
BK0188	“文学的国语”怎样炼成：中国现代文学语言研究	王振	9787208185487	Literary Collections	上海人民出版社有限责任公司	Chinese	318	2023	Available
BK0189	励耘学刊（2018年第2辑．总第28辑）	杜桂萍	9787520141178	Literary Collections	社会科学文献出版社	Chinese	416	2018	Available
BK0190	古代文学前沿与评论（第四辑）	中国社会科学院文学研究所古代文学学科	9787520158091	Literary Collections	社会科学文献出版社	Chinese	429	2020	Available
BK0191	文化哲学史研究	丁立群	9787520154536	Philosophy	社会科学文献出版社	Chinese	450	2019	Available
BK0192	新加坡华人通史 XIN JIA PO HUA REN TONG SHI	柯木林	9789811212444	Literary Collections	Global Publishing	Chinese	829	2019	Available
BK0193	知识产权与市场竞争研究（2019年第1期）	宁立志	9787520148504	Law	社会科学文献出版社	Chinese	278	2019	Available
BK0194	中国传统文化导读	李红丽	9787313174857	History	上海交通大学出版社有限公司	Chinese	224	2017	Available
BK0195	穆木天晚年翻译手稿研究	孙晓博	9787522809984	Literary Collections	社会科学文献出版社	Chinese	441	2023	Available
BK0196	中国文论通史	周兴陆	9787208170773	Literary Collections	上海人民出版社有限责任公司	Chinese	649	2021	Available
BK0197	明代文学论丛（第一辑）	刘尊举, 马昕	9787522802992	Literary Collections	社会科学文献出版社	Chinese	382	2022	Available
BK0198	“诗教”传统的历史中介：梁启超与中国现代文学启蒙话语的发生	郑焕钊	9787520118842	Literary Criticism	社会科学文献出版社	Chinese	270	2017	Available
BK0199	转折时代的汉语文学	赵稀方, 霍艳	9787208171046	Literary Collections	北京世纪文景文化传播有限责任公司	Chinese	450	2021	Available
BK0200	文学经典选读	邹春霞, 贾彬	9787568907941	Literary Collections	重庆大学电子音像出版社有限公司	Chinese	400	2017	Available
BK0201	三俠劍	_杰鑫	9787540208875	Chinese prose literature	飛翔時代	Chinese	636	1997	Available
BK0203	夜耕录——一位编辑的自选论评集	王昶	9787549589616	Social Science	广西师范大学出版社	Chinese	351	2016	Available
BK0204	南方批评30年——《南方文坛》广西文论选 (1987-2017)（上下册）	张燕玲 张萍 主编	9787559800046	Education	广西师范大学出版社	Chinese	1173	2017	Available
BK0205	忙而有时，不亦乐乎	（清）刘鹗	9787554619957	Literary Collections	古吴轩出版社	Chinese	155	2022	Available
BK0206	又是一年芳草绿：老舍散文精选	老舍	9787518081899	Literary Collections	中国纺织出版社	Chinese	128	2021	Available
BK0207	蒲寧文集, 短篇小說卷. 上	蒲寧, 戴驄	9787539658155	Fiction	安徽文藝出版社	Chinese	254	2016	Available
BK0209	西学东渐与文学变革	王纯菲 等	9787520143592	Literary Collections	社会科学文献出版社	Chinese	237	2019	Available
BK0210	抗战时期的天津文学	闫立飞, 倪斯霆, 罗海燕	9787509798096	Literary Collections	社会科学文献出版社	Chinese	294	2016	Available
BK0211	种瓜得豆：清末民初的阅读文化与接受政治	张仲民	9787509798768	History	社会科学文献出版社	Chinese	398	2016	Available
BK0212	红楼梦叙事论稿	李庆信	9787509726662	Literary Collections	社会科学文献出版社	Chinese	342	2011	Available
BK0213	梁启超美学思想研究	莫先武	9787520164962	Philosophy	社会科学文献出版社	Chinese	254	2020	Available
BK0214	中国当代日本研究（2000－2016）	王志松	9787520136792	History	社会科学文献出版社	Chinese	452	2019	Available
BK0215	IBDP中文A課程文學知識小辭典（簡體版）	李萍, 彭振, 蘇媛	9789620443329	Education	三聯書店(香港)有限公司	Chinese	206	2019	Available
BK0216	砥砺前行：新加坡作家协会的发展之路	张森林	9789811224560	History	Global Publishing	Chinese	172	2020	Available
BK0215	幸福的味道	邓秀茵	9789833738885	Chinese fiction	Odonata Publishing	Chinese	49	2009	Available
BK0216	王子沉睡时	伊藤悠	9789674894306	Comics & Graphic Novels	Pelangi ePublishing Sdn Bhd	Chinese	226	2021	Available
BK0217	青春五堂课	王德远	9789814764636	Literary Collections	玲子传媒 LINGZI MEDIA	Chinese	132	2017	Available
BK0218	夏目漱石短篇小說集	夏目漱石	9789577107374	Literary Collections	八方出版股份有限公司(笛藤)	Chinese	68	2018	Available
BK0219	（试读）当我们在一起	张爵西, 李慧慧	9789672088066	Young Adult Fiction	Odonata Publishing Sdn Bhd	Chinese	28	2017	Available
BK0220	请问你要去哪里？	林容婵	9789814992374	Juvenile Fiction	玲子传媒 LINGZI MEDIA	Chinese	84	2021	Available
BK0221	恶灵退散之魅影海唇街	密斯	9789674894450	Comics & Graphic Novels	Pelangi ePublishing Sdn Bhd	Chinese	210	2021	Available
BK0222	鹅卵石	许友彬	9789833738762	Malaysian fiction (Chinese)	Odonata Publishing	Chinese	53	2009	Available
