BorrowID	UserID	BookID	BorrowDate	DueDate	ReturnDate	Borrowed Status	Borrwed Method	Image
BR0125	U0021	BK0178	30/06/2024	06/07/2024	04/07/2024	Returned	Online	bookCover_178.jpg
BR0126	U0005	BK0098	31/05/2024	06/06/2024	17/06/2024	Overdue	Online	bookCover_98.jpg
BR0127	U0005	BK0108	21/07/2024	27/07/2024	29/07/2024	Overdue	Online	bookCover_108.jpg
BR0128	U0022	BK0162	20/01/2025	26/01/2025	20/01/2025	Returned	Physical	bookCover_162.jpg
BR0129	U0003	BK0001	18/09/2024	24/09/2024	03/05/2025	Overdue	Physical	bookCover_1.jpg
BR0130	U0001	BK0170	26/02/2024	03/03/2024	17/03/2024	Overdue	Online	bookCover_170.jpg
BR0131	U0078	BK0001	17/05/2024	23/05/2024	03/05/2025	Overdue	Online	bookCover_1.jpg
BR0132	U0005	BK0043	17/11/2024	23/11/2024	-	Overdue	Physical	bookCover_43.jpg
BR0133	U0001	BK0181	07/02/2025	13/02/2025	10/02/2025	Returned	Online	bookCover_181.jpg
BR0134	U0001	BK0177	24/08/2024	30/08/2024	03/09/2024	Overdue	Online	bookCover_177.jpg
BR0135	U0001	BK0169	30/09/2024	06/10/2024	01/10/2024	Returned	Physical	bookCover_169.jpg
BR0136	U0077	BK0044	11/10/2024	17/10/2024	14/10/2024	Returned	Physical	bookCover_44.jpg
BR0137	U0097	BK0182	09/09/2024	15/09/2024	-	Overdue	Physical	bookCover_182.jpg
BR0138	U0002	BK0001	25/07/2024	31/07/2024	03/05/2025	Overdue	Physical	bookCover_1.jpg
BR0139	U0001	BK0063	01/02/2024	07/02/2024	13/02/2024	Overdue	Online	bookCover_63.jpg
BR0140	U0005	BK0053	09/01/2025	15/01/2025	10/01/2025	Returned	Physical	bookCover_53.jpg
BR0141	U0003	BK0126	19/05/2024	25/05/2024	23/05/2024	Returned	Online	bookCover_126.jpg
BR0142	U0019	BK0179	09/07/2024	15/07/2024	13/07/2024	Returned	Online	bookCover_179.jpg
BR0143	U0002	BK0182	12/07/2024	18/07/2024	-	Overdue	Physical	bookCover_182.jpg
BR0144	U0056	BK0171	16/07/2024	22/07/2024	22/07/2024	Returned	Physical	bookCover_171.jpg
BR0145	U0034	BK0151	31/10/2024	06/11/2024	-	Overdue	Physical	bookCover_151.jpg
BR0146	U0005	BK0213	11/11/2024	17/11/2024	-	Overdue	Online	bookCover_211.jpg
BR0147	U0041	BK0166	29/05/2024	04/06/2024	17/06/2024	Overdue	Physical	bookCover_166.jpg
BR0148	U0066	BK0196	28/02/2025	06/03/2025	05/03/2025	Returned	Online	bookCover_196.jpg
BR0149	U0004	BK0069	04/10/2024	10/10/2024	-	Overdue	Online	bookCover_69.jpg
BR0150	U0028	BK0160	30/03/2024	05/04/2024	-	Overdue	Online	bookCover_160.jpg
BR0151	U0010	BK0071	15/03/2025	21/03/2025	-	Overdue	Online	bookCover_71.jpg
BR0152	U0042	BK0001	26/03/2024	01/04/2024	03/05/2025	Overdue	Online	bookCover_1.jpg
BR0153	U0090	BK0177	18/03/2024	24/03/2024	20/03/2024	Returned	Physical	bookCover_177.jpg
BR0154	U0003	BK0177	06/02/2025	12/02/2025	08/02/2025	Returned	Online	bookCover_177.jpg
BR0155	U0015	BK0069	29/06/2024	05/07/2024	20/07/2024	Overdue	Online	bookCover_69.jpg
BR0156	U0003	BK0001	27/02/2025	05/03/2025	03/05/2025	Overdue	Physical	bookCover_1.jpg
BR0157	U0082	BK0018	27/03/2024	02/04/2024	03/04/2024	Overdue	Online	bookCover_18.jpg
BR0158	U0004	BK0106	22/10/2024	28/10/2024	-	Overdue	Physical	bookCover_106.jpg
BR0159	U0003	BK0009	21/09/2024	27/09/2024	12/10/2024	Overdue	Online	bookCover_9.jpg
BR0160	U0002	BK0177	27/01/2025	02/02/2025	14/02/2025	Overdue	Online	bookCover_177.jpg
BR0161	U0028	BK0179	13/01/2025	19/01/2025	15/01/2025	Returned	Physical	bookCover_179.jpg
BR0162	U0003	BK0165	01/02/2024	07/02/2024	08/02/2024	Overdue	Physical	bookCover_165.jpg
BR0163	U0005	BK0071	17/09/2024	23/09/2024	18/09/2024	Returned	Physical	bookCover_71.jpg
BR0164	U0003	BK0176	11/01/2025	17/01/2025	16/01/2025	Returned	Physical	bookCover_176.jpg
BR0165	U0046	BK0177	26/12/2024	01/01/2025	29/12/2024	Returned	Online	bookCover_177.jpg
BR0166	U0001	BK0205	04/01/2024	10/01/2024	11/01/2024	Overdue	Online	bookCover_204.jpg
BR0167	U0051	BK0035	22/01/2024	28/01/2024	12/02/2024	Overdue	Physical	bookCover_35.jpg
BR0168	U0033	BK0157	05/03/2024	11/03/2024	25/03/2024	Overdue	Physical	bookCover_157.jpg
BR0169	U0005	BK0163	22/02/2024	28/02/2024	-	Overdue	Physical	bookCover_163.jpg
BR0170	U0069	BK0140	10/03/2025	16/03/2025	13/03/2025	Returned	Online	bookCover_140.jpg
BR0171	U0005	BK0051	18/02/2024	24/02/2024	21/02/2024	Returned	Online	bookCover_51.jpg
BR0172	U0004	BK0080	18/05/2024	24/05/2024	27/05/2024	Overdue	Physical	bookCover_80.jpg
BR0173	U0091	BK0023	19/12/2024	25/12/2024	25/12/2024	Returned	Physical	bookCover_23.jpg
BR0174	U0073	BK0187	11/12/2024	17/12/2024	-	Overdue	Online	bookCover_187.jpg
BR0175	U0002	BK0098	19/10/2024	25/10/2024	-	Overdue	Physical	bookCover_98.jpg
BR0176	U0004	BK0015	01/08/2024	07/08/2024	05/08/2024	Returned	Physical	bookCover_15.jpg
BR0177	U0004	BK0104	10/10/2024	16/10/2024	14/10/2024	Returned	Online	bookCover_104.jpg
BR0178	U0013	BK0179	29/02/2024	06/03/2024	29/02/2024	Returned	Physical	bookCover_179.jpg
BR0179	U0072	BK0177	09/02/2024	15/02/2024	14/02/2024	Returned	Physical	bookCover_177.jpg
BR0180	U0031	BK0077	20/12/2024	26/12/2024	-	Overdue	Online	bookCover_77.jpg
BR0181	U0005	BK0193	16/04/2024	22/04/2024	-	Overdue	Physical	bookCover_193.jpg
BR0182	U0005	BK0219	26/04/2024	02/05/2024	10/05/2024	Overdue	Online	bookCover_219.jpg
BR0183	U0080	BK0179	30/08/2024	05/09/2024	03/09/2024	Returned	Physical	bookCover_179.jpg
BR0184	U0003	BK0020	07/03/2024	13/03/2024	09/03/2024	Returned	Physical	bookCover_20.jpg
BR0185	U0004	BK0009	05/04/2024	11/04/2024	09/04/2024	Returned	Online	bookCover_9.jpg
BR0186	U0096	BK0032	29/06/2024	05/07/2024	11/07/2024	Overdue	Physical	bookCover_32.jpg
BR0187	U0005	BK0080	26/01/2024	01/02/2024	28/01/2024	Returned	Physical	bookCover_80.jpg
BR0188	U0003	BK0177	26/02/2025	04/03/2025	07/03/2025	Overdue	Physical	bookCover_177.jpg
BR0189	U0033	BK0070	28/02/2025	06/03/2025	-	Overdue	Physical	bookCover_70.jpg
BR0190	U0002	BK0110	06/03/2024	12/03/2024	19/03/2024	Overdue	Online	bookCover_110.jpg
BR0191	U0001	BK0215	07/10/2024	13/10/2024	-	Overdue	Online	bookCover_215.jpg
BR0192	U0002	BK0207	02/07/2024	08/07/2024	-	Overdue	Physical	bookCover_206.jpg
BR0193	U0025	BK0112	01/08/2024	07/08/2024	07/08/2024	Returned	Online	bookCover_112.jpg
BR0194	U0080	BK0179	09/01/2024	15/01/2024	30/01/2024	Overdue	Physical	bookCover_179.jpg
BR0195	U0064	BK0090	17/06/2024	23/06/2024	-	Overdue	Online	bookCover_90.jpg
BR0196	U0029	BK0177	14/06/2024	20/06/2024	20/06/2024	Returned	Physical	bookCover_177.jpg
BR0197	U0093	BK0022	09/05/2024	15/05/2024	14/05/2024	Returned	Physical	bookCover_22.jpg
BR0198	U0002	BK0224	26/05/2024	01/06/2024	30/05/2024	Returned	Online	bookCover_224.jpg
BR0199	U0029	BK0179	30/01/2025	05/02/2025	05/02/2025	Returned	Online	bookCover_179.jpg
BR0200	U0003	BK0095	28/08/2024	03/09/2024	03/09/2024	Returned	Online	bookCover_95.jpg
BR0201	U0076	BK0014	28/04/2024	04/05/2024	02/05/2024	Returned	Online	bookCover_14.jpg
BR0202	U0062	BK0227	13/02/2025	19/02/2025	16/02/2025	Returned	Physical	bookCover_227.jpg
BR0203	U0011	BK0016	14/11/2024	20/11/2024	19/11/2024	Returned	Physical	bookCover_16.jpg
BR0204	U0004	BK0181	20/04/2024	26/04/2024	30/04/2024	Overdue	Online	bookCover_181.jpg
BR0205	U0042	BK0181	25/03/2024	31/03/2024	-	Overdue	Online	bookCover_181.jpg
BR0206	U0001	BK0177	29/10/2024	04/11/2024	08/11/2024	Overdue	Physical	bookCover_177.jpg
BR0207	U0002	BK0129	03/12/2024	09/12/2024	04/12/2024	Returned	Physical	bookCover_129.jpg
BR0208	U0004	BK0068	29/11/2024	05/12/2024	05/12/2024	Returned	Physical	bookCover_68.jpg
BR0209	U0005	BK0011	22/01/2025	28/01/2025	22/01/2025	Returned	Physical	bookCover_11.jpg
BR0210	U0004	BK0181	19/02/2024	25/02/2024	25/02/2024	Returned	Physical	bookCover_181.jpg
BR0211	U0005	BK0201	07/01/2025	13/01/2025	12/01/2025	Returned	Online	bookCover_201.jpg
BR0212	U0004	BK0181	28/02/2024	05/03/2024	-	Overdue	Online	bookCover_181.jpg
BR0213	U0004	BK0179	22/08/2024	28/08/2024	08/09/2024	Overdue	Online	bookCover_179.jpg
BR0214	U0005	BK0203	02/10/2024	08/10/2024	05/10/2024	Returned	Online	bookCover_202.jpg
BR0215	U0004	BK0014	19/09/2024	25/09/2024	25/09/2024	Returned	Online	bookCover_14.jpg
BR0216	U0004	BK0179	16/03/2024	22/03/2024	22/03/2024	Returned	Online	bookCover_179.jpg
BR0217	U0004	BK0119	03/02/2025	09/02/2025	09/02/2025	Returned	Online	bookCover_119.jpg
BR0218	U0045	BK0085	10/12/2024	16/12/2024	-	Overdue	Physical	bookCover_85.jpg
BR0219	U0005	BK0049	26/01/2025	01/02/2025	30/01/2025	Returned	Physical	bookCover_49.jpg
BR0220	U0003	BK0220	02/06/2024	08/06/2024	03/06/2024	Returned	Online	bookCover_220.jpg
BR0221	U0080	BK0102	04/03/2025	10/03/2025	-	Overdue	Online	bookCover_102.jpg
BR0222	U0005	BK0179	14/02/2024	20/02/2024	-	Overdue	Physical	bookCover_179.jpg
BR0223	U0021	BK0210	30/06/2024	06/07/2024	01/07/2024	Returned	Online	bookCover_208.jpg
BR0224	U0061	BK0063	29/04/2024	05/05/2024	30/04/2024	Returned	Physical	bookCover_63.jpg
BR0225	U0084	BK0075	08/09/2024	14/09/2024	19/09/2024	Overdue	Online	bookCover_75.jpg
BR0226	U0013	BK0181	11/02/2024	17/02/2024	19/02/2024	Overdue	Physical	bookCover_181.jpg
BR0227	U0003	BK0059	19/05/2024	25/05/2024	22/05/2024	Returned	Online	bookCover_59.jpg
BR0228	U0003	BK0017	13/08/2024	19/08/2024	-	Overdue	Physical	bookCover_17.jpg
BR0229	U0013	BK0152	17/05/2024	23/05/2024	22/05/2024	Returned	Online	bookCover_152.jpg
BR0230	U0023	BK0177	05/06/2024	11/06/2024	-	Overdue	Physical	bookCover_177.jpg
BR0231	U0003	BK0074	01/03/2025	07/03/2025	04/03/2025	Returned	Online	bookCover_74.jpg
BR0232	U0003	BK0007	25/05/2024	31/05/2024	27/05/2024	Returned	Physical	bookCover_7.jpg
BR0233	U0002	BK0070	17/09/2024	23/09/2024	18/09/2024	Returned	Online	bookCover_70.jpg
BR0234	U0019	BK0002	21/03/2025	27/03/2025	23/03/2025	Returned	Online	bookCover_2.jpg
BR0235	U0004	BK0135	29/03/2024	04/04/2024	18/04/2024	Overdue	Physical	bookCover_135.jpg
BR0236	U0004	BK0141	16/11/2024	22/11/2024	25/11/2024	Overdue	Physical	bookCover_141.jpg
BR0237	U0001	BK0182	12/06/2024	18/06/2024	28/06/2024	Overdue	Online	bookCover_182.jpg
BR0238	U0005	BK0182	14/11/2024	20/11/2024	14/11/2024	Returned	Online	bookCover_182.jpg
BR0239	U0004	BK0196	21/07/2024	27/07/2024	22/07/2024	Returned	Physical	bookCover_196.jpg
BR0240	U0065	BK0179	30/07/2024	05/08/2024	08/08/2024	Overdue	Physical	bookCover_179.jpg
BR0241	U0084	BK0043	15/02/2024	21/02/2024	-	Overdue	Online	bookCover_43.jpg
BR0242	U0092	BK0077	16/01/2025	22/01/2025	17/01/2025	Returned	Online	bookCover_77.jpg
BR0243	U0003	BK0016	20/01/2025	26/01/2025	03/02/2025	Overdue	Physical	bookCover_16.jpg
BR0244	U0003	BK0123	03/01/2025	09/01/2025	12/01/2025	Overdue	Online	bookCover_123.jpg
BR0245	U0003	BK0120	20/02/2025	26/02/2025	-	Overdue	Physical	bookCover_120.jpg
BR0246	U0001	BK0063	02/08/2024	08/08/2024	06/08/2024	Returned	Online	bookCover_63.jpg
BR0247	U0036	BK0017	03/03/2025	09/03/2025	03/03/2025	Returned	Physical	bookCover_17.jpg
BR0248	U0024	BK0173	28/02/2024	05/03/2024	03/03/2024	Returned	Physical	bookCover_173.jpg
BR0249	U0047	BK0001	12/07/2024	18/07/2024	03/05/2025	Overdue	Physical	bookCover_1.jpg
BR0250	U0005	BK0001	10/07/2024	16/07/2024	03/05/2025	Overdue	Online	bookCover_1.jpg
BR0251	U0023	BK0212	13/09/2024	19/09/2024	16/09/2024	Returned	Online	bookCover_210.jpg
BR0252	U0059	BK0008	04/03/2025	10/03/2025	23/03/2025	Overdue	Online	bookCover_8.jpg
BR0253	U0001	BK0068	18/02/2025	24/02/2025	07/03/2025	Overdue	Online	bookCover_68.jpg
BR0254	U0004	BK0083	20/11/2024	26/11/2024	-	Overdue	Online	bookCover_83.jpg
BR0255	U0020	BK0190	27/02/2024	04/03/2024	02/03/2024	Returned	Online	bookCover_190.jpg
BR0256	U0098	BK0177	13/01/2024	19/01/2024	22/01/2024	Overdue	Physical	bookCover_177.jpg
BR0257	U0004	BK0183	06/03/2024	12/03/2024	06/03/2024	Returned	Online	bookCover_183.jpg
BR0258	U0072	BK0105	12/07/2024	18/07/2024	28/07/2024	Overdue	Physical	bookCover_105.jpg
BR0259	U0078	BK0182	14/05/2024	20/05/2024	27/05/2024	Overdue	Physical	bookCover_182.jpg
BR0260	U0005	BK0182	04/03/2024	10/03/2024	-	Overdue	Physical	bookCover_182.jpg
BR0261	U0005	BK0001	15/06/2024	21/06/2024	03/05/2025	Overdue	Online	bookCover_1.jpg
BR0262	U0003	BK0182	06/04/2024	12/04/2024	-	Overdue	Online	bookCover_182.jpg
